GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Capstone,fpt.capstone.service,ConfigScoreboardServiceImpl,413,3,4,0,88,1,5,1,3,1
Capstone,fpt.capstone.service,AttendanceServiceImpl,282,3,12,0,48,1,12,1,6,1
Capstone,fpt.capstone.service,UserServiceImpl,82,244,2,12,24,47,3,11,2,5
Capstone,fpt.capstone.service,GradeLevelServiceImpl,9,3,0,0,1,1,1,1,1,1
Capstone,fpt.capstone.service,GradebookServiceImpl,6003,3,382,0,1126,1,246,1,55,1
Capstone,fpt.capstone.service,SubjectsServiceImpl,1196,3,32,0,269,1,34,1,18,1
Capstone,fpt.capstone.service,ConfigGradeDetailServiceImpl,0,702,3,83,0,90,3,44,0,4
Capstone,fpt.capstone.service,AuthorityServiceImpl,36,3,0,0,12,1,1,1,1,1
Capstone,fpt.capstone.service,DepartmentServiceImpl,0,547,2,36,0,80,2,37,0,20
Capstone,fpt.capstone.service,ApParamServiceImpl,50,3,2,0,7,1,3,1,2,1
Capstone,fpt.capstone.service,SchoolYearServiceImpl,1235,75,64,0,208,13,44,5,12,5
Capstone,fpt.capstone.service,SchoolServiceImp,78,68,0,0,18,13,0,5,0,5
Capstone,fpt.capstone.service,TransferStudentsServiceImpl,922,7,54,0,184,2,31,1,4,1
Capstone,fpt.capstone.service,TeacherServiceImpl,369,584,22,64,82,101,20,35,9,3
Capstone,fpt.capstone.service,AssessStudentConductDetailServiceImpl,2098,3,166,0,357,1,89,1,6,1
Capstone,fpt.capstone.service,StudentServiceImpl,2256,257,245,37,467,47,142,19,16,4
Capstone,fpt.capstone.service,ConfigScoreDetailServiceImpl,0,741,14,76,0,94,14,35,0,4
Capstone,fpt.capstone.service,ClassRoomServiceImpl,486,3,32,0,70,1,30,1,14,1
Capstone,fpt.capstone.service,SubjectClassServiceImpl,279,3,12,0,62,1,9,1,3,1
Capstone,fpt.capstone.service,TimetableServiceImpl,911,3,54,0,152,1,35,1,8,1
Capstone,fpt.capstone.service,GradebookSubjectDetailServiceImpl,217,3,8,0,51,1,5,1,1,1
Capstone,fpt.capstone.service,TeachingAssignmentServiceImpl,2145,3,158,0,355,1,88,1,9,1
Capstone,fpt.capstone.service,ConfigScoreSubjectServiceImpl,0,34,0,2,0,7,0,3,0,2
